,CityID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,2017215,Sangar,63.9242,127.4739,-25.51,99,99,2.66,RU,1672970571
1,3833367,Ushuaia,-54.8,-68.3,54.91,89,100,11.83,AR,1672970572
2,5855927,Hilo,19.7297,-155.09,88.29,91,8,3.0,US,1672970572
3,286621,Salalah,17.0151,54.0924,72.55,72,71,8.88,OM,1672970572
4,5880054,Barrow,71.2906,-156.7887,-3.98,77,100,20.71,US,1672970573
5,1295765,Sittwe,20.15,92.9,67.98,57,1,7.63,MM,1672970573
6,3366880,Hermanus,-34.4187,19.2345,64.45,61,100,10.8,ZA,1672970574
7,2155415,New Norfolk,-42.7826,147.0587,68.72,36,0,4.83,AU,1672970574
8,926308,Monkey Bay,-14.0728,34.9201,75.16,80,94,6.64,MW,1672970574
9,3372783,Ponta Delgada,37.7333,-25.6667,59.72,77,20,11.5,PT,1672970575
10,2208248,Kaitangata,-46.2817,169.8464,62.92,90,97,8.48,NZ,1672970575
11,935221,Saint-Paul,-21.0096,55.2707,77.09,75,68,3.6,RE,1672970576
12,3573061,Saint George,32.3817,-64.6781,69.58,84,40,12.66,BM,1672970576
13,5017822,Bemidji,47.4736,-94.8803,6.89,92,0,0.0,US,1672970576
14,3393471,Oriximiná,-1.7656,-55.8661,73.76,92,100,2.68,BR,1672970291
15,3894426,Coyhaique,-45.5752,-72.0662,56.71,87,52,6.29,CL,1672970577
16,1788852,Xining,36.6167,101.7667,24.94,22,0,2.24,CN,1672970577
17,4020109,Atuona,-9.8,-139.0333,78.08,78,4,15.5,PF,1672970577
18,2126710,Beringovskiy,63.05,179.3167,-12.71,92,97,10.89,RU,1672970578
19,2139521,Noumea,-22.2763,166.4572,89.58,99,100,4.12,NC,1672970578
20,964420,Port Elizabeth,-33.918,25.5701,60.1,88,65,1.99,ZA,1672970417
21,2206939,Bluff,-46.6,168.3333,58.1,92,100,20.47,NZ,1672970578
22,1061335,Mananjary,-21.2167,48.3333,73.02,91,98,3.94,MG,1672970579
23,3652764,Puerto Ayora,-0.7393,-90.3518,73.54,94,38,4.0,EC,1672970579
24,2374583,Bubaque,11.2833,-15.8333,77.88,67,72,8.5,GW,1672970580
25,3414079,Olafsvik,64.8945,-23.7142,28.78,81,99,7.92,IS,1672970580
26,2012956,Yerbogachën,61.2767,108.0108,-0.06,99,100,3.09,RU,1672970581
27,2441482,Magaria,12.9983,8.9099,61.56,25,100,8.55,NE,1672970581
28,3430863,Mar del Plata,-38.0023,-57.5575,71.1,93,0,6.91,AR,1672970289
29,5924351,Clyde River,70.4692,-68.5914,-24.05,93,28,2.08,CA,1672970582
30,3443061,Chui,-33.6971,-53.4616,63.91,82,1,7.29,UY,1672970582
31,4030556,Rikitea,-23.1203,-134.9692,78.55,76,9,16.08,PF,1672970582
32,669940,Ponoarele,44.9739,22.7644,45.21,66,6,9.06,RO,1672970584
33,2101169,Aitape,-3.1374,142.3475,82.42,74,100,3.24,PG,1672970584
34,3424607,Tasiilaq,65.6145,-37.6368,12.36,53,33,10.11,GL,1672970585
35,5983607,Inuvik,68.3499,-133.7218,-10.7,99,85,3.56,CA,1672970585
36,933726,Hukuntsi,-24.0,21.75,68.76,25,5,6.82,BW,1672970586
37,3374346,Ponta do Sol,17.1994,-25.0919,71.78,70,94,12.8,CV,1672970587
38,4035715,Avarua,-21.2078,-159.775,76.35,77,98,16.46,CK,1672970587
39,3572627,Cockburn Town,24.0333,-74.5167,78.67,71,0,15.7,BS,1672970588
40,520798,Nizhniy Baskunchak,48.2198,46.8311,37.02,86,100,24.85,RU,1672970589
41,6113406,Prince Rupert,54.3161,-130.3201,44.29,87,100,16.11,CA,1672970334
42,1648082,Boyolangu,-8.1181,111.8935,77.76,84,100,7.02,ID,1672970589
43,5848280,Kapaa,22.0752,-159.319,80.58,77,1,5.01,US,1672970590
44,2015306,Tiksi,71.6872,128.8694,-19.07,93,100,2.53,RU,1672970591
45,935215,Saint-Philippe,-21.3585,55.7679,74.79,83,61,13.47,RE,1672970591
46,3874787,Punta Arenas,-53.15,-70.9167,59.11,72,81,23.69,CL,1672970592
47,2075265,Busselton,-33.65,115.3333,76.44,56,91,19.44,AU,1672970593
48,2025630,Chara,56.9064,118.2631,-9.17,84,97,0.67,RU,1672970594
49,2180815,Tuatapere,-46.1333,167.6833,63.03,91,100,6.85,NZ,1672970594
50,2094342,Kavieng,-2.5744,150.7967,82.9,77,53,7.83,PG,1672970595
51,486186,Suoyarvi,62.0833,32.35,5.31,97,69,6.31,RU,1672970595
52,2514651,Los Llanos de Aridane,28.6585,-17.9182,58.75,63,0,10.36,ES,1672970596
53,6167817,Torbay,47.6666,-52.7314,22.57,74,92,5.01,CA,1672970597
54,5282297,Bethel,41.3712,-73.414,45.03,87,100,1.99,US,1672970598
55,2163355,Hobart,-42.8794,147.3294,69.06,54,75,9.22,AU,1672970431
56,86049,Jalu,29.0331,21.5482,59.61,69,100,3.74,LY,1672970599
57,1528606,Kemin,42.7846,75.6892,37.54,60,100,5.95,KG,1672970600
58,3448903,São João da Barra,-21.6403,-41.0511,73.04,95,100,5.84,BR,1672970601
59,286245,Sur,22.5667,59.5289,68.02,67,69,2.39,OM,1672970601
60,1861084,Izumo,35.3667,132.7667,48.38,52,83,9.24,JP,1672970602
